Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
2385,RegionA,159.08333333333394,0.25251322751322847,22.486666666666714,397.473333,419.95999966666676,566.9459995500001,1089.78,566.9459995500001,0.0,522.8340004499998,0.0,0.0,0.0,0.0,0.5202389468975391
2385,RegionB,154.56666666666615,0.26421652421652336,21.685333333333293,361.14,382.8253333333333,516.8141999999999,1089.78,516.8141999999999,0.0,572.9658000000001,0.0,0.0,0.0,0.0,0.47423718548697896
2385,RegionC,70.16666666667379,0.12993827160495147,8.02800000000123,380.261333,388.2893330000012,535.8392795400016,1089.78,535.8392795400016,0.0,553.9407204599984,0.0,0.0,0.0,0.0,0.49169491047734554
2385,RegionD,195.8000000000011,0.13301630434782682,29.360000000000113,376.262667,405.62266700000015,519.1970137600002,1089.78,519.1970137600002,180.0,390.58298623999974,0.0,-180.0,-61144.2,0.0,0.6415946464056967
2385,RegionE,293.2166666666735,0.2897397891963177,44.70066666666771,308.909333,353.6099996666677,442.0124995833346,1089.78,442.0124995833346,220.0,427.76750041666537,0.0,-220.0,-66041.8,0.0,0.6074735263845313
2385,RegionF,412.78333333331693,0.427311939268444,65.24333333333061,323.424,388.6673333333306,493.60751333332985,1089.78,493.60751333332985,220.0,376.1724866666701,0.0,-220.0,-69517.8,0.0,0.6548179571411935
2386,RegionA,159.19999999999982,0.2526984126984124,22.495999999999984,396.824,419.32,566.082,1100.0,566.082,0.0,533.918,0.0,0.0,0.0,0.0,0.51462
2386,RegionB,127.23333333332857,0.21749287749286936,15.320666666666222,348.609333,363.9299996666662,491.3054995499994,1100.0,491.3054995499994,0.0,608.6945004500005,0.0,0.0,0.0,0.0,0.4466413632272722
2386,RegionC,63.63333333333503,0.11783950617284265,6.090666666666803,381.109333,387.19999966666677,534.3359995400001,1100.0,534.3359995400001,0.0,565.6640004599999,0.0,0.0,0.0,0.0,0.48575999958181826
2386,RegionD,197.83333333335668,0.1343976449275521,28.393333333337072,345.526,373.9193333333371,478.6167466666715,1100.0,478.6167466666715,180.0,441.3832533333285,0.0,-180.0,-61160.399999999994,0.0,0.5987424969697014
2386,RegionE,408.1499999999869,0.40331027667982894,62.56799999999792,318.36,380.92799999999795,476.15999999999747,1100.0,476.15999999999747,220.0,403.84000000000253,0.0,-220.0,-66059.4,0.0,0.6328727272727249
2386,RegionF,369.0,0.38198757763975155,58.400000000000006,289.396,347.79600000000005,441.70092000000005,1100.0,441.70092000000005,220.0,438.29908,0.0,-220.0,-69535.4,0.0,0.601546290909091
2387,RegionA,157.8166666666816,0.2505026455026692,21.44400000000238,369.585,391.0290000000024,527.8891500000033,1089.78,527.8891500000033,0.0,561.8908499999967,0.0,0.0,0.0,0.0,0.4843997412321783
2387,RegionB,76.69999999999982,0.1311111111111108,6.837999999999975,357.312667,364.15066699999994,491.60340045,1089.78,491.60340045,0.0,598.17659955,0.0,0.0,0.0,0.0,0.45110334237185484
2387,RegionC,74.00000000000136,0.13703703703703957,6.787000000000135,367.186333,373.97333300000014,516.0831995400001,1089.78,516.0831995400001,0.0,573.6968004599998,0.0,0.0,0.0,0.0,0.47356640747673856
2387,RegionD,197.43333333333612,0.13412590579710335,27.09333333333371,284.687333,311.7806663333337,399.0792529066672,1089.78,399.0792529066672,180.0,510.7007470933328,0.0,-180.0,-61174.8,0.0,0.5313726191586075
2387,RegionE,410.11666666666497,0.40525362318840413,60.08933333333316,237.059,297.14833333333314,371.4354166666664,1089.78,371.4354166666664,220.0,498.3445833333335,0.0,-220.0,-66074.79999999999,0.0,0.5427108376614238
2387,RegionF,470.11666666668407,0.4866632160110601,74.61866666666947,268.386667,343.00533366666946,435.6167737566702,1089.78,435.6167737566702,220.0,434.16322624332975,0.0,-220.0,-69553.0,0.0,0.6016047034783811
2388,RegionA,110.3166666666657,0.17510582010581857,10.425333333333256,342.459333,352.88466633333326,476.3942995499999,1059.81,476.3942995499999,0.0,583.41570045,0.0,0.0,0.0,0.0,0.449509156877176
2388,RegionB,137.9666666666667,0.2358404558404559,17.517333333333333,309.892667,327.41000033333336,442.00350045000005,1059.81,442.00350045000005,0.0,617.8064995499999,0.0,0.0,0.0,0.0,0.41705919027938976
2388,RegionC,125.86666666666679,0.23308641975308664,16.009333333333345,304.750667,320.7600003333334,442.64880046,1059.81,442.64880046,0.0,617.1611995399999,0.0,0.0,0.0,0.0,0.4176680730130873
2388,RegionD,272.65000000000964,0.18522418478261524,36.40400000000155,288.34,324.7440000000015,415.67232000000195,1059.81,415.67232000000195,180.0,464.137679999998,0.0,-180.0,-61189.2,0.0,0.5620557647125447
2388,RegionE,410.44999999998845,0.40558300395255775,61.42999999999812,276.284,337.7139999999981,422.14249999999765,1059.81,422.14249999999765,220.0,417.6675000000023,0.0,-220.0,-66090.20000000001,0.0,0.6059034166501521
2388,RegionF,713.6000000000076,0.7387163561076684,113.61600000000124,183.54,297.1560000000012,377.38812000000155,1059.81,377.38812000000155,220.0,462.4218799999984,0.0,-220.0,-69568.40000000001,0.0,0.5636747341504624
2389,RegionA,113.41666666667061,0.18002645502646128,10.763333333333703,315.173333,325.93666633333373,440.01449955000055,1012.13,440.01449955000055,0.0,572.1155004499994,0.0,0.0,0.0,0.0,0.43474109012676293
2389,RegionB,215.70000000000073,0.36871794871794994,29.09600000000006,312.122667,341.21866700000004,460.64520045000006,1012.13,460.64520045000006,0.0,551.4847995499999,0.0,0.0,0.0,0.0,0.45512453978243905
2389,RegionC,129.16666666666833,0.23919753086420062,16.452000000000133,323.67,340.1220000000001,469.36836000000017,1012.13,469.36836000000017,0.0,542.7616399999998,0.0,0.0,0.0,0.0,0.4637431555235001
2389,RegionD,503.7833333333192,0.342244112318831,75.23866666666379,276.742333,351.98099966666376,450.5356795733296,1012.13,450.5356795733296,180.0,381.5943204266704,0.0,-180.0,-61200.0,0.0,0.6229789449708334
2389,RegionE,555.1833333333593,0.5486001317523314,84.98933333333748,255.563333,340.55266633333747,425.69083291667187,1012.13,425.69083291667187,220.0,366.43916708332813,0.0,-220.0,-66103.40000000001,0.0,0.6379524694620966
2389,RegionF,651.283333333321,0.6742063492063365,103.64533333333137,249.668667,353.31400033333136,448.70878042333084,1012.13,448.70878042333084,220.0,343.42121957666916,0.0,-220.0,-69581.59999999999,0.0,0.6606945554655339
2390,RegionA,108.46666666666397,0.1721693121693079,10.489999999999739,303.77,314.2599999999997,424.25099999999964,950.0,424.25099999999964,0.0,525.7490000000004,0.0,0.0,0.0,0.0,0.4465799999999996
2390,RegionB,223.45000000000027,0.3819658119658124,29.838666666666683,283.511333,313.3499996666667,423.0224995500001,950.0,423.0224995500001,0.0,526.97750045,0.0,0.0,0.0,0.0,0.44528684163157906
2390,RegionC,82.31666666666752,0.15243827160493983,8.785333333333401,297.518667,306.3040003333334,422.6995204600001,950.0,422.6995204600001,0.0,527.30047954,0.0,0.0,0.0,0.0,0.44494686364210534
2390,RegionD,573.1999999999807,0.3894021739130304,89.59999999999677,220.578667,310.1786669999968,397.02869375999586,950.0,397.02869375999586,180.0,372.9713062400042,0.0,-180.0,-61210.8,0.0,0.6073986250105219
