solution_id,charge_price_w,charge_carbon_w,charge_renewable_w,charge_threshold,discharge_price_w,discharge_carbon_w,discharge_load_w,discharge_threshold,charge_rate,discharge_rate,reserve_frac,grid_charge_frac,renewable_sell_pref,total_cost_cny,total_carbon_tco2,system_peak_net_import_mw,load_fluctuation_mw,renewable_utilization,total_curtailment_mwh,terminal_soc_shortfall_mwh,objective_cost,objective_carbon,objective_peak,objective_fluctuation,cost_reduction,carbon_reduction,peak_reduction,fluctuation_reduction
28,0.28548485601463,0.33901258391093064,0.17260666184899492,0.2470739707285133,0.5959270576549385,0.6569816590716544,0.44082947040468357,0.5123436121613221,0.7425333210471985,0.3692342329311728,0.12026848349535654,0.34120913437767597,0.06119394326062924,-49814743.68995625,52.21802297238399,64.3582457265862,19551.23413676767,0.5776298863159913,4878699.345350983,0.0,-49814743.68995625,52.21802297238399,64.3582457265862,19551.23413676767,1851474881.581843,2045315.2572610741,1843.2799542734138,350446.5121632323
29,0.4515094247888448,0.49724376693325456,0.4955301502949089,0.182275670126834,0.7068525234138487,0.4706593249742661,0.6857538408152838,0.5744136136541272,0.9802750857957633,0.4477466723366451,0.3659723524947587,0.5812393282631962,0.1598397918985039,-130106028.50535965,161.09240590072153,180.59722432809963,51108.175270161155,0.599332397565449,4628018.665078193,0.0,-130106028.50535965,161.09240590072153,180.59722432809963,51108.175270161155,1931766166.3972464,2045206.3828781457,1727.0409756719002,318889.5710298389
30,0.33630620240392245,0.6107945797499277,0.5437328935659946,0.1939971510184007,0.6177953648042721,0.5059769709167636,0.6638088766133983,0.41843087311153565,0.7834293666665717,0.5765881486388466,0.14641979738867866,0.6437656694142431,0.1518575830199494,-123637402.49874768,112.63635282909313,133.83934581607784,48483.91883495036,0.5975843169864422,4648210.338920894,0.0,-123637402.49874768,112.63635282909313,133.83934581607784,48483.91883495036,1925297540.3906343,2045254.8389312173,1773.798854183922,321513.82746504963
31,0.4139677703312247,0.41487801092416954,0.24045696623382992,0.0,0.6977623118776659,0.5123514718217136,0.705920708006501,0.45589363602490907,1.0,0.49578277886456956,0.054496228541786707,0.5723888205067722,0.06798848266625418,-55271177.413106814,157.81867522266282,184.26674427769981,21842.574230070444,0.5791033851155035,4861679.30203909,0.0,-55271177.413106814,157.81867522266282,184.26674427769981,21842.574230070444,1856931315.3049936,2045209.656608824,1723.3714557223,348155.17206992954
32,0.12206938565607608,0.586167058025095,0.15163307555193262,0.5631962378258204,0.47789770947186455,0.7254292927999807,0.519024904226534,0.484679250207474,0.6202278041145001,0.37217483308807575,0.5099240348043528,0.5893834475874438,0.0872901196052582,-71100672.65706596,0.0,-9.951219409499185,27788.433239534555,0.5833859173867881,4812212.763779238,0.0,-71100672.65706596,0.0,-9.951219409499185,27788.433239534555,1872760810.5489526,2045367.4752840465,1917.589419409499,342209.31306046544
33,0.6977325021183152,0.5977471720968581,0.26107695555936733,0.206824330777346,0.5190696013880981,0.4103271456101124,0.6389702780022972,0.44684890662439564,0.8279291492345552,0.5030090925653231,0.28869279655883706,0.5013531676878462,0.07213480448140451,-58692908.10452268,99.68087011751977,114.75092941315306,23089.657890093455,0.5800288260286923,4850989.748419931,0.0,-58692908.10452268,99.68087011751977,114.75092941315306,23089.657890093455,1860353045.9964094,2045267.7944139289,1792.8872705868469,346908.08840990654
34,0.2810545942034169,0.7271915805070578,0.49894864665944094,0.20745224259022876,0.7052128069127589,0.34521221299415517,0.7115472644513524,0.6503579518153999,0.8447416585391723,0.35802240592355783,0.8866557428106903,0.11088478074731659,0.046537685849092306,-37889039.27631109,31.274148906238253,26.29249318526813,14898.724371158396,0.574406161289478,4915935.846388551,0.0,-37889039.27631109,31.274148906238253,26.29249318526813,14898.724371158396,1839549177.1681979,2045336.2011351401,1881.3457068147318,355099.0219288416
35,0.40858506289634466,0.6192615001927448,0.4710010205632202,0.21995178693526324,0.7074715071258942,0.2199303392303415,0.7400538866661744,0.5414167467686485,0.8669775685052831,0.3838224488309016,0.44025788835773816,0.4126487087761261,0.12516363302804503,-101898878.69220343,97.43640778254047,102.41462854984202,39995.30987770724,0.5917078062949498,4716088.552683426,0.0,-101898878.69220343,97.43640778254047,102.41462854984202,39995.30987770724,1903559016.5840902,2045270.038876264,1805.2235714501578,330002.4364222928
36,0.45301108041558513,0.674927105777265,0.29731864525661383,0.35291687080436396,0.6213508914082697,0.3927076980947756,0.6185588392512527,0.4620965688804741,0.8915652202930624,0.40032226935325477,0.4238110719328265,0.36246451859660533,0.10084536661403593,-82095626.69581571,84.87447488004425,94.58175787013059,32200.22617891873,0.5863554345585374,4777912.558787331,0.0,-82095626.69581571,84.87447488004425,94.58175787013059,32200.22617891873,1883755764.5877025,2045282.6008091664,1813.0564421298693,337797.52012108127
37,0.13397704518955852,0.45516973311819,0.24815107454568822,0.2706382962213121,0.5208072542309296,0.6383646823891471,0.5788639003062014,0.5052900182279978,0.806369271367846,0.4372827598310516,0.49380559988842476,0.5898123691282334,0.09036393904316711,-73599094.82898958,27.1370994165886,62.54862494670878,28919.32594607024,0.5840593462972394,4804434.142427651,0.0,-73599094.82898958,27.1370994165886,62.54862494670878,28919.32594607024,1875259232.7208762,2045340.3381846298,1845.0895750532911,341078.42035392975
